title,description,content
Viral virus video highlights COVID 19 panic shopping in Windsor Windsor Star,Viral virus video highlights COVID 19 panic shopping in Windsor Windsor Star COVID 19 panic buying hits grocery stores across Canada CTV News Grocery stores hit with Coronavirus COVID 19 shopping surge grocery store chain owner Scott Karns PennLive com Coron ,We estimated 10 or 11 per cent of the population would panic buy and theyre doing that right now but itll soon pass said Charlebois senior director of the Agri food Analytics Lab at Dalhousie University in Halifax and known as The Food Professor The food 1196 chars 
Better know a CSO Indiana University Health s Mitch Parker,Mitch Parker has one of Indiana s most critical jobs As chief information security officer for Indiana University Health Parker oversees cybersecurity for more than 30 000 employees at 18 hospitals across the state along with countless numbers of computers ,Mitch Parker has one of Indiana s most critical jobs As chief information security officer for Indiana University Health Parker oversees cybersecurity for more than 30 000 employees at 18 hospitals across the state along with countless numbers of computer 1979 chars 
Canada closes border to all foreign nationals except Americans will block even citizens with symptoms,Canadian Prime Minister Justin Trudeau announced a number of additional measures being taken at a federal level in Canada to prevent further spread of coronavirus within the country The most extreme is that Canada is closing its borders to non citizens and a ,Canadian Prime Minister Justin Trudeau announced a number of additional measures being taken at a federal level in Canada to prevent further spread of coronavirus within the country The most extreme is that Canada is closing its borders to non citizens and a 1880 chars 
Vancouver university temporarily closed over possible student exposure to COVID 19 CTV News,Vancouver university temporarily closed over possible student exposure to COVID 19 CTV News University Canada West closes Vancouver campus following presumptive case of COVID 19 Global News View Full coverage on Google News,VANCOUVER A small private university in downtown Vancouver is closing its campus for three days after learning two students may have been exposed to COVID 19 University Canada West announced Thursday the students have both been placed in isolation and 905 chars 
UK researchers develop new low cost rapid COVID 19 test that could even be used at home,A new type of test developed by UK researchers from the Brunel University London Lancaster University and the University of Surrey can provide COVID 19 detection in as little as 30 minutes using hand held hardware that costs as little as 100 around 120 U ,A new type of test developed by UK researchers from the Brunel University London Lancaster University and the University of Surrey can provide COVID 19 detection in as little as 30 minutes using hand held hardware that costs as little as 100 around 120 U 2062 chars 
Experts No reason to panic as shelves seem bare amid virus concerns CityNews Vancouver,Experts No reason to panic as shelves seem bare amid virus concerns CityNews Vancouver Coronavirus Panic In Montreal Leaves Grocery Store Shelves Empty Here s Metro s Solution MTL Blog Capturing the coronavirus mood through one Toronto grocery store The Gl ,TORONTO NEWS 1130 Grocery store shelves across the country are being emptied by those concerned about the spread of COVID 19 with toilet paper and canned goods being some of the hottest items According to a food expert there is no reason to panic as C 1041 chars 
Canadian university students create map of self reported potential COVID 19 cases CTV News,A team of Canadian university students have been spending their unexpected time off coming up with an interactive website that allows users to plug in their symptoms and see how many potential cases and vulnerable individuals are in their neighbourhoods al ,TORONTO A team of Canadian university students have been spending their unexpected time off coming up with a new digital map to help Canada flatten the curve of COVID 19 cases Reports of young people attending social gatherings and spring break celebra 3882 chars 
University Canada West closes Vancouver campus following presumptive case of COVID 19 Global News,University Canada West closes Vancouver campus following presumptive case of COVID 19 Global News COVID 19 precautions close Vancouver business school for 3 day disinfection CBC ca Vancouver university temporarily closed over possible student exposure to CO ,A private Vancouver university says it has closed its doors after identifying a student with a presumptive case of COVID 19 In a statement University Canada West said the student had been visited by their father who has positively been tested for COVID 19 925 chars 
Coronavirus How is Canada planning to enforce mandatory self isolation Global News,Coronavirus How is Canada planning to enforce mandatory self isolation Global News Strict new mandatory quarantine rules in effect for returning Canadians CBC ca Travellers returning home must enter mandatory isolation health minister CTV News What you nee ,The federal government is deploying the Quarantine Act in the fight against COVID 19 imposing mandatory self isolation rules for any traveller returning to Canada with fines and even jail time for those who break the rules The legislation which went into 7721 chars 
Big Brother Canada ends season early due to COVID 19 developments CBC ca,Big Brother Canada ends season early due to COVID 19 developments CBC ca Big Brother Canada officially ending Season 8 ceasing production due to coronavirus Global News Big Brother Canada Season 8 suspends production Toronto Sun Big Brother Canada season c ,Just over a week after announcing production was still underway on Big Brother Canada despite the global COVID 19 crisis producers now say the reality series has ended early Global and Insight Productions say production on season 8 is now done in light of 3149 chars 
