source_name,author,title,description,publishedAt
Windsorstar.com,"Doug Schmidt, Windsor Star",Viral virus video highlights COVID-19 panic shopping in Windsor - Windsor Star,Viral virus video highlights COVID-19 panic shopping in Windsor Windsor Star COVID-19 panic buying hits grocery stores across Canada CTV News Grocery stores hit with Coronavirus COVID-19 shopping surge: grocery store chain owner Scott Karns PennLive.com Coron…,2020-03-14T01:25:10Z
Engadget,Christine Fisher,"Starbucks embraces fake meat, starting in Canada","Next week, when Starbucks rolls out its spring menu in stores across Canada, it will include one notable addition: a breakfast sandwich with Beyond Meat sausage. Starbucks joins a growing list of brands that have added Beyond Meat's plant-based offerings to t…",2020-02-26T19:35:00Z
Gizmodo.com,"Dharna Noor on Earther, shared by Brian Kahn to Gizmodo",Canadian Police Raided Indigenous Territory To Make Way for a Pipeline,"In Canada, indigenous rights and climate justice advocates are holding protests all over the country, blockading  trains, ports, streets, bridges and other transit. Things escalated on Tuesday when protestors blockaded a major rail line connecting Toronto, Ot…",2020-02-13T16:45:00Z
Ctvnews.ca,Andrew Weichel,Vancouver university temporarily closed over 'possible student exposure' to COVID-19 - CTV News,Vancouver university temporarily closed over 'possible student exposure' to COVID-19 CTV News University Canada West closes Vancouver campus following presumptive case of COVID-19 Global News View Full coverage on Google News,2020-03-05T17:54:00Z
Globalnews.ca,jonazpiri,University Canada West closes Vancouver campus following presumptive case of COVID-19 - Global News,University Canada West closes Vancouver campus following presumptive case of COVID-19 Global News COVID-19 precautions close Vancouver business school for 3-day disinfection CBC.ca Vancouver university temporarily closed over 'possible student exposure' to CO…,2020-03-05T19:24:10Z
Castanet.net,,New presumptive case of novel coronavirus in Toronto - Canada News - Castanet.net,"New presumptive case of novel coronavirus in Toronto - Canada News Castanet.net New presumptive case of novel coronavirus in Toronto, health officials say CP24 Toronto's Breaking News New presumptive case of novel coronavirus confirmed in Toronto CTV News Ont…",2020-02-24T04:00:00Z
Ctvnews.ca,,Timeline coronavirus (COVID-19) in Canada - CTV News,Timeline coronavirus (COVID-19) in Canada CTV News Husband of Toronto woman who returned from Iran now Ontario's sixth COVID-19 case CP24 Toronto's Breaking News Husband of Ontario's fifth COVID-19 patient also tests positive for virus CTV News Husband of COV…,2020-02-27T14:16:00Z
The Verge,Jay Peters,"WeChat has been censoring keywords about coronavirus, study finds","China’s hugely-popular WeChat has been censoring keywords about coronavirus, according to a report published by Citizen Lab. The report also found that popular Chinese livestreaming platform YY has been censoring coronavirus content.",2020-03-04T02:12:34Z
The Globe And Mail,,Businesses step up pressure on Trudeau to end rail blockades - The Globe and Mail,Businesses step up pressure on Trudeau to end rail blockades The Globe and Mail CN Rail laying off about 450 workers after shutting down Eastern Canada network CTV News Trudeau says government working 'extremely hard' to resolve 2-week long rail blockade CBC.…,2020-02-19T00:07:00Z
Theloop.ca,CTVNews.ca Staff,You might be able to see Mars disappear behind the moon this week - The Loop,"You might be able to see Mars disappear behind the moon this week The Loop Mars will disappear behind the Moon on Tuesday, here's how to see it The Weather Network Mars will disappear from the morning sky on Tuesday for 1.5 hours News Landed 10 Thrilling Deep…",2020-02-17T03:56:45Z
Ctvnews.ca,Carly Yoshida-Butryn,Protest shuts down major Vancouver intersection | CTV News - CTV News,Protest shuts down major Vancouver intersection | CTV News CTV News Indigenous people in Canada facing racism over Wet’suwet’en solidarity blockade action Global News B.C. students join nationwide school walkout in support of Wet'suwet'en hereditary chiefs CB…,2020-03-04T23:51:00Z
Ctvnews.ca,Graham Slaughter,Canada confirms first 'community case' of COVID-19: Here's what that means - CTV News,"Canada confirms first 'community case' of COVID-19: Here's what that means CTV News 8 more cases of COVID-19 virus identified in B.C., including 1 of unknown origin CBC.ca Coronavirus outbreak: Canadian WHO doctor returns from China with critical COVID-19 les…",2020-03-06T02:30:00Z
Gizmodo.com,Ed Cara,"Airing Out Your Home Doesn't Reduce Indoor Air Pollution, Study Finds","Many of the potentially harmful chemicals found in our homes linger on walls and other surfaces, suggests a new study out Wednesday. Unfortunately, ventilating rooms with fresh air or cleaning surfaces might not do much to reduce our exposure to these contami…",2020-02-19T19:00:00Z
Ctvnews.ca,,Ont. hospital to set up special COVID-19 clinic to ease busy emergency rooms - CTV News,"As hospitals and health care facilities across Canada prepare to handle the spread of coronavirus seen around the world, some doctors are worried about a potential flood of patients hitting emergency rooms.",2020-03-05T03:12:00Z
CNN,"Kate Bennett, CNN",Melania Trump receives award from Palm Beach university,"First lady Melania Trump received a Palm Beach society award on Wednesday at a luncheon held at The Breakers, a local luxury resort.",2020-02-19T18:50:09Z
CNN,"Scottie Andrew, CNN",University removes 'homosexual behavior' as an honor code violation,"A section of the Mormon university's student honor code that banned ""homosexual behavior"" on campus was quietly deleted. University officials are keeping details of the change vague, leaving LGBTQ+ students left to wonder if public displays of affection are n…",2020-02-21T14:28:03Z
Boingboing.net,David Pescovitz,US Customs seized a human brain on its way from Toronto to Wisconsin,"US Customs and Border Protection seized a human brain that was part of an international mail shipment from Canada to the United States. They discovered the brain during an inspection at Blue Water Bridge between Port Huron, Michigan, US and Sarnia, Ontario, C…",2020-02-21T08:08:24Z
TechCrunch,Manish Singh,Leap Finance raises $5.5M to democratize financing for foreign-bound Indian students,"Tens of thousands of Indians move to the United States to pursue higher education each year. But like many others who have arrived from a foreign land, they can’t secure education loans or personal loans from the banks at interest rates on par with those levi…",2020-03-03T16:25:21Z
Mashable,Natasha Piñon,How to support girls' and women's education,"It's the MOST wonderful time of the year: International Women's Day! The commemorative day comes along once a year, on Mar. 8, and marks the perfect time to get a game plan together for supporting women around the world. The United Nation's theme this year — …",2020-03-08T13:00:00Z
Canoe.com,,Trudeau says time for blockades to end - Toronto Sun,"Trudeau says time for blockades to end Toronto Sun Canada at 'tipping point' over Wet'suwet'en land dispute Al Jazeera English Trudeau says rail barricades 'need to come down now,' rules out sending in soldiers to restore rail service CBC.ca Conrad Black: Can…",2020-02-21T22:07:00Z
The Globe And Mail,,Exploratory talks between Ontario high school teachers’ union and government break off - The Globe and Mail,"Exploratory talks between Ontario high school teachers’ union and government break off The Globe and Mail Ford government backs down on high school class sizes, e-learning ahead of more Ont. teacher strikes CTV News I'm An Ontario Teacher But I Chose To Go Wh…",2020-03-04T20:41:38Z
BBC News,https://www.facebook.com/bbcnews,Plans for first US 'safe injection site' derailed again,The addiction management method used in Europe and Canada has met determined opposition in the US.,2020-02-28T02:09:51Z
