Unnamed: 0,created_at,text,user_name,user_location,retweet_count,favorite_count
0,14/03/2020 00:11,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,SABIEN,Las Vegas NV,102,0
1,14/03/2020 00:11,RT shope lindsey I m blessed to announce that I have officially committed to University of the Cumberlands to further my education and at ,calicia,Kentucky USA,5,0
2,14/03/2020 00:11,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,James ,Los Angeles CA,102,0
4,14/03/2020 00:10,RT EvanstonNow First COVID 19 case reported at Northwestern Northwestern University early this evening announced that an employee in the ,Julie Karant,Washington DC,1,0
5,14/03/2020 00:10,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,TheShawtyLo,nan,102,0
6,14/03/2020 00:10,RT HistoricaCanada Our new education guide Residential Schools in Canada aims to raise awareness of the history of residential schools ,KdeVos,nan,77,0
7,14/03/2020 00:10,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo , alASSandra ,California Love,102,0
8,14/03/2020 00:10,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,Karin,nan,102,0
9,14/03/2020 00:10,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,Val ria,Boston MA,102,0
10,14/03/2020 00:10,Need some tips on how to create a compelling brandstory for your highered university Our team of experts have ou ,Circa Interactive,San Diego CA,0,0
11,14/03/2020 00:09,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,liz,Nayarit M xico,102,0
12,14/03/2020 00:09,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,Nate,nan,102,0
13,14/03/2020 00:09,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,Anika,Los Angeles CA,102,0
14,14/03/2020 00:09,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,Shaya Jade,Bonney Lake WA,102,0
15,14/03/2020 00:09,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,St Joshtrick s Day ,United States,102,0
16,14/03/2020 00:09,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,Vinicio Urizar ,Los Angeles CA,102,0
17,14/03/2020 00:09,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo , ,Houston TX,102,0
18,14/03/2020 00:09,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,la rothal a ,con chris,102,0
19,14/03/2020 00:08,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,Ansley Jordan,nan,102,0
20,14/03/2020 00:08,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,Andreas Bigger,Los Angeles CA,102,0
21,14/03/2020 00:08,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo , ,LA babyyyy,102,0
22,14/03/2020 00:08,RT ThomasDangAB 1000 jobs will be lost at the University of Alberta will be lost as a result of Jason Kenney and the UCP s cuts This is ,sheila,nan,1,0
23,14/03/2020 00:08,RT NOLAnews A sophomore at Tulane University has died after falling to the ground from the upper floors of a four story dormitory offi ,Ms Boo M S ,New Orleans,33,0
24,14/03/2020 00:08,RT llamalady101 From now until April 13th I will be continuing my education at MRU Mark Rose University majoring in any and all Farm O ,Marcia Johnson,Jackson MN,1,0
25,14/03/2020 00:08,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo , ,love trumps hate ,102,0
26,14/03/2020 00:08,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,jas,california,102,0
27,14/03/2020 00:07,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,Jordan Gonzales,California USA,102,0
28,14/03/2020 00:07,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,Ang lica,Whittier CA,102,0
29,14/03/2020 00:07,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,Stephen,New York NY,102,0
30,14/03/2020 00:07,After much consideration I d like to announce my commitment to Zoom University to further my education Thank you , ,Somewhere with badgalriri,0,0
31,14/03/2020 00:07,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,trader joe,San Francisco CA,102,0
32,14/03/2020 00:07,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,Katie Hogan,nan,102,0
33,14/03/2020 00:07,A massive congratulations to our very own Teddy Prior on his commitment to Western Washington University We are v ,Ridge Meadows Flames,nan,1,2
34,14/03/2020 00:07,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,T,Los Angeles CA,102,0
35,14/03/2020 00:06,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,Jessica Rogers,Bay Area,102,0
36,14/03/2020 00:06,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,karlos marx,LA,102,0
37,14/03/2020 00:06,RT dom wall After much consideration I d like to announce my commitment to Zoom University to further my education Thank you to everyo ,off the field,Cali,102,0
